"","CKU1","CKU3","CKU4","CKU5","CKU2","CLU1","CLU2","CLU3","CLU4","CLU5","JPU1","JPU2","JPU3","JPU4","JPU5","MHU1","MHU2","MHU3","MHU4","MHU5","YMU1","YMU2","YMU3","YMU4","YMU5"
"OTU87.p:Evosea-Evosea_X.g:ATCC50593-lineage_X",2,6,2,1,2,1,2,5,4,5,7,0,4,1,5,5,8,4,2,7,1,1,5,3,9
"OTU89.p:Evosea-Evosea_X.g:AND16-lineage_X",2,1,0,1,0,0,2,1,1,0,2,2,0,0,1,0,0,0,0,0,0,1,4,2,5
"OTU90.p:Stramenopiles-Gyrista.g:Mediophyceae_XXX",2,0,0,0,8,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"OTU92.p:Evosea-Evosea_X.g:Variosea_XXX",0,3,1,0,0,0,5,5,2,1,4,4,5,1,1,0,0,1,1,0,0,0,0,0,0
"OTU94.p:Rhizaria-Cercozoa.g:Glissomonadida_XX",3,3,0,0,3,3,3,3,2,1,0,3,0,2,0,8,11,56,13,1,5,3,0,0,0
"OTU95.p:Stramenopiles-Gyrista.g:Hyphochytrium",2,3,6,2,1,4,5,17,0,4,0,3,3,176,4,6,2,9,8,8,12,14,8,8,13
"OTU97.p:Alveolata-Ciliophora.g:Pseudoplatyophrya",0,8,1,4,5,7,12,5,6,5,1,8,16,5,8,0,1,9,0,1,8,4,31,8,3
"OTU99.p:Chlorophyta-Chlorophyta_X.g:Chlamydomonas",1,1,1,3,1,2,0,0,1,0,2,2,3,1,0,0,3,7,3,2,4,3,0,0,0
"OTU100.p:Stramenopiles-Gyrista.g:Pythium",0,5,2,3,1,9,9,2,3,6,5,0,6,3,7,2,1,4,0,4,0,1,3,6,2
"OTU101.p:Evosea-Evosea_X.g:Variosea_XXX",4,2,5,13,6,3,1,9,3,4,3,3,1,1,8,4,4,5,1,1,16,6,11,2,6
"OTU102.p:Alveolata-Ciliophora.g:Colpoda",3,4,8,6,10,15,8,9,18,13,4,23,16,0,8,1,1,0,2,0,6,3,52,5,2
"OTU104.p:Stramenopiles-Gyrista.g:Phaeophyceae_XXX",3,0,9,0,0,2,0,1,4,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"OTU105.p:Evosea-Evosea_X.g:Variosea_XXX",1,2,18,12,0,0,0,0,6,0,1,3,0,0,1,0,0,1,0,2,0,0,0,0,0
"OTU106.p:Stramenopiles-Bigyra.g:Labyrinthulomycetes_LAB5_X",6,1,3,0,3,1,0,1,3,0,1,1,0,0,1,3,0,2,1,1,0,0,0,0,0
"OTU107.p:Stramenopiles-Gyrista.g:Hantzschia",3,12,4,5,4,8,3,0,4,3,3,18,4,3,3,14,9,3,1,39,1,0,1,1,2
"OTU111.p:Chlorophyta-Chlorophyta_X.g:Spongiococcum",1,3,3,6,0,2,2,1,2,2,2,3,2,2,3,7,6,7,2,34,0,0,0,0,0
"OTU113.p:Evosea-Evosea_X.g:Acramoebidae_X",1,3,3,0,2,0,0,1,2,0,4,4,8,0,0,5,1,3,4,7,0,3,2,3,0
"OTU114.p:Alveolata-Ciliophora.g:Pseudouroleptus",2,3,0,3,1,2,3,6,4,0,1,5,0,2,0,7,4,10,1,8,0,0,1,1,0
"OTU116.p:Evosea-Evosea_X.g:Filamoeba",4,2,0,1,0,0,1,5,2,0,0,1,1,0,0,0,4,1,0,1,8,0,1,3,2
"OTU117.p:Evosea-Evosea_X.g:Filamoeba",0,0,0,1,0,1,0,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU120.p:Chlorophyta-Chlorophyta_X.g:Fasciculochloris",2,10,1,8,2,6,5,2,5,4,2,2,6,3,4,11,5,4,5,14,2,11,2,6,1
"OTU121.p:Centroplasthelida-Centroplasthelida_X.g:Pterocystis",1,1,1,7,6,3,1,3,4,0,1,3,5,1,1,14,8,15,12,2,0,0,0,0,0
"OTU122.p:Alveolata-Ciliophora.g:Nassulida_X",0,1,0,1,2,0,0,0,9,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"OTU123.p:Evosea-Evosea_X.g:Variosea_XXX",2,0,11,2,2,0,0,2,2,2,0,1,0,1,1,3,0,0,5,1,9,0,0,0,0
"OTU124.p:Tubulinea-Tubulinea_X.g:Hartmannella",6,4,17,11,4,9,11,4,10,9,8,4,14,6,6,19,8,4,6,17,24,9,25,8,12
