#OTU ID	CKB1	CKB2	CKB3	CKB4	CKB5	CKB6	CKB7	CKB8	CKJ1	CKJ10	CKJ2	CKJ3	CKJ4	CKJ5	CKJ6	CKJ7	CKJ8	CKJ9	CKU1	CKU2	CKU3	CKU4	CKU5	CKU6	CKU7	CKU8	CKY1	CKY2	CKY3	CKY4	CKY5	CLU1	CLU2	CLU3	CLU4	CLU5	DDH1	DDH2	DDH3	DDL2	DDL22	DDL3	DDL4	DDN1	DDN2	DDN3	DDN4	DDN5	GLH1	GLH2	GLH3	GLL2	GLL3	GLL4	GLN1	GLN2	GLN3	GLN4	GLN5	JPU1	JPU2	JPU3	JPU4	JPU5	MHU1	MHU2	MHU3	MHU4	MHU5	TGH1	TGH2	TGH3	TGL2	TGL3	TGL4	TJH1	TJH2	TJH3	TJL2	TJL3	TJL4	TJN1	TJN2	TJN3	TJN4	TJN5	YMH1	YMH2	YMH3	YML2	YML3	YML4	YMN1	YMN2	YMN3	YMN4	YMN5	YMU1	YMU2	YMU3	YMU4	YMU5
OTU1033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	415	1	0
OTU1034	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0	0	2	0	0	0	0	2	0	0	1	1	0	0	18	13	0	0	16	6	15	2	2	0	12	10	1	0	0	0	3	3	0	0	0	2	0	4	8	10	8	0	0	2	0	8	1	0	3	19	0	0	20	1	0	1	0	1	15	15	21	9	10	20	2	10	74	60	27
OTU1035	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	16	0	0	0	0	2	3	0	3	2	0	0	33	20	4	0	1	0	0	2	5	5	2	0	1	0	2	1	5	5	1	0	0	0	6	2	24	54	46	55	98	0	3	1	2	1	7	6	0	0	6	0	5	0	1	0	0	5	6	2	4	2	7	9	8	0	5	0	18	58	0	2	4	17
OTU1036	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	7	1	3	7	0	1	0	0	2	12	1	3	0	11	3	6	11	7	0	4	4	0	1	1	6	7	0	9	9	13	0	5	1	0	1	0	0	68	123	69	53	91	4	5	0	0	4	0	19	0	0	0	0	4	5	6	2	1	3	9	0	0	4	27	0	3	12	26	18	4	0	3	2	24	20
OTU1037	0	2	2	0	1	0	1	1	0	1	0	2	0	0	1	1	0	0	3	0	5	0	0	1	9	0	13	1	3	84	3	0	7	1	1	9	8	4	23	0	138	81	14	6	7	34	9	224	27	20	26	41	5	56	22	12	16	17	100	5	0	2	1	1	3	0	1	6	2	10	25	21	23	29	65	15	8	10	116	28	36	165	44	46	25	91	19	40	10	26	86	96	18	47	41	87	20	2	49	49	171	51
OTU1038	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	2	0	55	0	0	0	1	0	27	15	2	1	95	0	1	0	0	0	6	0	0	0	0	0	10	2	3	2	3	0	7	0	0	0	0	2	0	0	0	0	0	12	76	8	2	0	1	10	3	49	0	19	35	6	0	0	9	1	14	0	65	0	0	2	2	5	3	1	0	0	0	0	0	0
OTU1039	1	29	2	3	1	4	61	49	1	0	7	27	3	4	11	0	2	0	3	0	26	7	6	8	17	2	1286	39	17	5447	418	14	39	56	28	15	19	15	45	2	962	21	885	29	307	2060	339	536	418	3225	386	755	45	123	62	2088	35	1235	3065	32	8	10	5	34	6	62	35	1375	78	19	4601	477	1352	239	13	28	138	42	565	49	2213	1786	21	829	223	51	13	33	119	3847	31	1399	660	923	2442	626	329	842	4952	1129	259	8272
OTU104	0	10	1	4	0	1	1	5	0	0	1	144	4	1066	0	0	1	8	8	0	0	22	0	0	0	2	139	564	1900	356	237	4	0	2	13	0	1705	172	110	3	82	834	199	72	9	93	183	9	5	72	9	44	140	45	21	11	57	22	44	5	0	0	0	5	2	0	28	3	0	56	121	49	2	47	87	612	168	147	39	575	64	244	12	38	112	174	262	240	113	43	10	14	7	75	40	22	16	1	3	0	0	0
OTU1040	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	3	0	0	6	1	1	0	0	2	8	65	0	3	0	0	0	1	0	41	17	31	0	7	7	0	0	0	1	2	0	0	0	0	0	0	0	0	0	4	6	0	0	0	0	0	0	0	0	0	0	1	8	32	6	0	6	0	0	15	90	0	33	0	0	0	0	1	0	43	22	10	2	0	0	1	1	1	1	3	0	0	0	0	0
OTU1041	0	2	0	0	0	0	0	0	0	2	1	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	6	0	13	2	3	0	0	0	3	0	5	29	38	1	13	24	4	1	0	1	0	1	1	5	0	0	1	1	1	2	21	2	2	0	0	0	0	0	0	0	0	0	1	11	58	0	0	4	15	4	26	29	2	15	1	0	0	0	1	1	10	26	40	0	4	0	0	2	0	0	3	0	0	0	0	0
