"","CKU1","CKU3","CKU4","CKU5","CKU2","CLU1","CLU2","CLU3","CLU4","CLU5","JPU1","JPU2","JPU3","JPU4","JPU5","MHU1","MHU2","MHU3","MHU4","MHU5","YMU1","YMU2","YMU3","YMU4","YMU5"
"OTU71.p__Ascomycota.g__Chrysosporium",2,1,6,5,1,3,14,0,4,6,1,1,2,8,0,52,1,62,51,118,2,8,5,4,4
"OTU72.p__Basidiomycota.g__Ustilago",1,1,7,6,9,1,8,0,6,7,2,1,2,1,2,128,1,41,21,114,3,1,0,12,0
"OTU73.p__Ascomycota.g__Madurella",1,0,1,3,0,0,2,0,10,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"OTU74.p__Ascomycota.g__Myrmecridium",0,0,1,0,0,2,1,1,9,0,1,1,43,2,1,0,0,1,0,0,0,0,0,0,0
"OTU75.p__Mortierellomycota.g__Mortierella",9,0,14,2,19,2,13,8,22,8,4,0,15,1,8,1,13,6,2,2,5,78,36,31,9
"OTU76.p__Basidiomycota.g__Ustilago",5,0,0,0,0,3,5,0,9,25,5,0,4,2,1,1,0,3,1,0,0,0,0,0,1
"OTU77.p__Chytridiomycota.g__Phlyctochytriaceae_gen_Incertae_sedis",0,0,0,6,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0
"OTU78.p__Fungi_phy_Incertae_sedis.g__Fungi_gen_Incertae_sedis",7,0,1,2,0,0,4,0,9,1,2,0,13,2,0,0,0,0,0,0,0,0,1,0,0
"OTU79.p__Ascomycota.g__Fusarium",8,0,27,15,0,0,0,0,11,1,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0
"OTU80.p__Ascomycota.g__Talaromyces",0,0,1,0,0,2,13,1,34,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"OTU81.p__Ascomycota.g__Nectriaceae_gen_Incertae_sedis",5,7,3,1,1,0,6,3,7,2,86,1,2,2,1,18,4,19,25,10,1,13,11,12,11
"OTU82.p__Ascomycota.g__Tetracladium",1,0,11,2,5,1,6,0,5,7,5,2,2,4,1,12,1,12,5,147,2,51,4,35,15
"OTU83.p__Ascomycota.g__Trichoderma",0,0,0,0,2,0,16,0,0,6,0,6,0,3,0,7,1,0,1,3,0,0,7,0,0
"OTU84.p__Ascomycota.g__Halobyssothecium",17,3,4,4,2,0,1,0,3,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0
"OTU85.p__Ascomycota.g__Ascobolus",0,0,5,4,3,5,4,3,6,23,3,0,2,4,0,19,0,49,1,2,0,36,40,31,57
"OTU86.p__Basidiomycota.g__Auriculariales_gen_Incertae_sedis",4,0,9,2,7,0,4,1,4,11,5,1,2,6,0,70,0,54,339,79,4,5,0,5,2
"OTU87.p__Ascomycota.g__Chaetomiaceae_gen_Incertae_sedis",0,0,0,0,20,0,0,0,0,4,0,1,1,1,0,7,1,0,0,3,0,1,0,1,1
"OTU88.p__Ascomycota.g__Fusarium",1,0,0,0,58,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"OTU89.p__Ascomycota.g__Pezizomycotina_gen_Incertae_sedis",0,19,0,0,0,1,0,2,0,0,0,16,0,0,5,0,4,0,0,0,0,1,0,0,0
"OTU90.p__Basidiomycota.g__Auriculariales_gen_Incertae_sedis",0,0,17,46,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU91.p__Ascomycota.g__Stagonospora",0,2,3,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU92.p__Ascomycota.g__Fusarium",4,1,4,2,0,1,1,2,3,0,2,1,1,3,0,2,1,11,0,0,2,60,25,30,87
"OTU93.p__Ascomycota.g__Monosporascus",50,0,2,0,5,0,2,0,0,12,0,0,0,12,0,0,1,0,0,0,0,0,0,0,0
"OTU94.p__Ascomycota.g__Stachybotryaceae_gen_Incertae_sedis",0,0,1,0,0,1,6,1,0,115,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"OTU95.p__Ascomycota.g__Chaetothyriales_gen_Incertae_sedis",4,106,6,3,0,0,0,78,3,6,1,73,4,1,84,1,69,3,1,0,69,1,0,2,0
"OTU96.p__Ascomycota.g__Fusarium",3,0,3,5,3,1,0,0,7,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0
"OTU97.p__Ascomycota.g__Parasarocladium",2,0,1,2,0,0,6,0,2,1,0,0,0,1,0,1,1,8,5,1,0,6,4,24,0
"OTU98.p__Basidiomycota.g__Auriculariales_gen_Incertae_sedis",1,0,2,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU99.p__Ascomycota.g__Blumeria",9,243,9,5,7,5,11,360,4,58,8,415,2,5,265,0,885,7,3,0,709,2,2,1,0
"OTU100.p__Mortierellomycota.g__Mortierella",4,0,1,4,5,1,36,0,2,7,1,0,8,1,2,13,1,12,7,3,0,2,3,7,4
"OTU101.p__Basidiomycota.g__Auriculariales_gen_Incertae_sedis",2,0,4,0,7,0,4,1,3,7,2,1,0,0,0,32,0,30,3,134,2,1,0,0,0
"OTU102.p__Ascomycota.g__Fusarium",2,3,5,1,43,0,3,1,4,6,7,0,0,3,1,2,1,7,75,3,1,1,0,0,0
"OTU103.p__Ascomycota.g__Phaeosphaeria",0,0,2,0,0,0,11,0,7,8,0,1,1,11,1,0,0,0,0,0,1,0,0,0,1
"OTU104.p__Ascomycota.g__Phylloscypha",7,0,2,1,3,0,0,0,1,0,0,0,0,1,0,0,0,160,0,0,1,0,0,0,0
"OTU105.p__Basidiomycota.g__Solicoccozyma",1,0,2,0,3,1,8,4,6,2,1,1,1,0,2,0,1,7,4,2,1,137,43,68,134
"OTU106.p__Ascomycota.g__Lasiosphaeriaceae_gen_Incertae_sedis",5,0,2,0,1,0,7,2,2,5,0,0,9,4,0,0,3,0,1,1,1,0,9,3,0
"OTU108.p__Ascomycota.g__Gymnoascus",2,0,0,3,2,0,3,0,4,5,3,1,1,3,0,18,0,56,41,51,0,0,0,0,0
"OTU109.p__Ascomycota.g__Myrmecridium",0,0,6,2,5,0,8,0,36,2,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0
"OTU110.p__Ascomycota.g__Teratosphaeriaceae_gen_Incertae_sedis",1,152,3,3,0,1,1,88,1,11,1,64,4,4,49,0,30,2,0,0,90,0,1,0,0
"OTU111.p__Ascomycota.g__Alternaria",5,0,10,12,0,0,4,2,21,5,3,1,7,13,1,0,0,2,19,4,1,20,37,10,36
"OTU112.p__Basidiomycota.g__Auriculariales_gen_Incertae_sedis",20,0,15,2,10,2,2,1,1,6,4,2,2,0,0,8,1,3,4,28,0,6,8,14,1
"OTU113.p__Basidiomycota.g__Coprinopsis",5,1,0,1,0,0,1,3,3,9,0,0,1,1,0,0,0,2,0,0,0,54,69,3,28
"OTU114.p__Basidiomycota.g__Auriculariales_gen_Incertae_sedis",15,0,7,2,0,0,0,0,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"OTU115.p__Ascomycota.g__Thelebolaceae_gen_Incertae_sedis",4,1,2,3,0,0,4,4,7,5,1,1,2,1,0,6,0,25,10,4,2,47,10,18,18
"OTU116.p__Ascomycota.g__Apiospora",2,0,1,0,0,0,0,0,3,2,0,0,0,0,0,1,0,2,2,0,2,0,0,1,0
"OTU117.p__Ascomycota.g__Fusarium",3,13,0,0,31,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU118.p__Ascomycota.g__Darksidea",2,0,0,1,2,2,0,0,6,2,1,0,4,1,0,0,0,0,0,0,0,60,21,5,15
"OTU119.p__Basidiomycota.g__Entoloma",0,0,17,0,2,2,15,1,5,1,0,0,0,1,0,6,1,6,2,0,0,0,0,0,0
"OTU120.p__Basidiomycota.g__Coprinus",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU121.p__Ascomycota.g__Trichoderma",0,0,2,0,4,3,6,0,0,6,1,0,0,1,0,14,1,2,2,2,0,2,3,4,0
"OTU122.p__Ascomycota.g__Lecythophora",0,1,0,0,1,0,3,4,2,2,2,2,3,2,0,0,1,0,1,0,0,0,179,0,2
"OTU123.p__Monoblepharomycota.g__Monoblepharomycota_gen_Incertae_sedis",0,0,1,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU124.p__Basidiomycota.g__Auriculariales_gen_Incertae_sedis",0,0,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU125.p__Ascomycota.g__Preussia",0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
