OTU ID	CKB1	CKB2	CKB3	CKB4	CKB5	CKB6	CKB7	CKB8	CKJ1	CKJ10	CKJ2	CKJ3	CKJ4	CKJ5	CKJ6	CKJ7	CKJ8	CKJ9	CKU1	CKU2	CKU3	CKU4	CKU5	CKU6	CKU7	CKU8	CKY1	CKY2	CKY3	CKY4	CKY5	CLU1	CLU2	CLU3	CLU4	CLU5	DDH1	DDH2	DDH3	DDL2	DDL22	DDL3	DDL4	DDN1	DDN2	DDN3	DDN4	DDN5	GLH1	GLH2	GLH3	GLL2	GLL3	GLL4	GLN1	GLN2	GLN3	GLN4	GLN5	JPU1	JPU2	JPU3	JPU4	JPU5	MHU1	MHU2	MHU3	MHU4	MHU5	TGH1	TGH2	TGH3	TGL2	TGL3	TGL4	TJH1	TJH2	TJH3	TJL2	TJL3	TJL4	TJN1	TJN2	TJN3	TJN4	TJN5	YMH1	YMH2	YMH3	YML2	YML3	YML4	YMN1	YMN2	YMN3	YMN4	YMN5	YMU1	YMU2	YMU3	YMU4	YMU5
OTU401	0	1	0	0	0	0	2	0	4	0	0	0	14	6	0	0	0	0	3	0	0	0	2	0	0	0	3	2	2	6	0	0	0	1	4	0	54	0	82	0	1	173	3	0	4	1	2	2	1	3	0	1	12	0	4	9	36	11	1	0	0	0	0	0	54	2	9	143	34	72	1	0	26	21	15	10	21	184	13	169	1	2	4	2	0	0	9	0	0	6	10	0	10	0	36	1	0	0	1	0	0	4
OTU402	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	16	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	1	0	2	2	4	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	10	0	0	23	565	424	4
OTU403	0	2	0	0	0	0	3	0	0	0	1	0	1	0	0	0	0	0	5	0	578	0	0	0	0	4	0	3	0	0	0	0	0	217	2	0	0	0	0	0	0	0	9	0	0	3	0	0	0	1	0	1	2	3	0	7	1	0	0	0	30	0	0	256	1	133	12	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	60	0	0	2	6	1	0	29	0	4	4	0	146	1	1	2	0
OTU404	0	4	0	0	0	0	0	3	12	1	2	8	16	4	0	0	0	0	0	0	2	0	0	0	0	0	3	25	1	14	1	1	1	0	0	0	28	68	27	0	483	54	28	61	22	10	0	0	24	91	25	5	25	76	91	6	143	38	4	0	0	0	0	2	5	4	7	0	6	114	30	11	410	172	96	36	162	11	9	4	34	21	14	74	4	13	4	6	29	6	8	11	13	8	5	10	8	1	0	0	0	0
OTU405	0	3	0	1	0	4	0	2	1	0	2	0	11	15	0	0	0	0	0	0	0	0	0	0	0	0	197	58	158	26	248	0	4	1	0	0	0	0	9	0	2	3	11	0	32	79	67	2	1	0	2	4	10	9	0	1	42	10	6	0	0	1	0	3	0	0	0	0	2	0	0	0	39	8	0	0	0	1	0	0	8	7	28	8	32	0	0	0	16	9	1	4	0	21	1	2	0	0	0	0	0	0
OTU406	0	3	0	1	0	0	0	2	8	0	3	1	17	23	3	0	0	0	0	0	6	1	1	1	3	0	0	52	0	19	12	5	1	153	2	5	10	25	62	0	150	11	112	106	33	45	16	19	11	31	2	180	25	38	4	78	57	13	8	6	0	0	0	25	0	28	3	0	0	78	0	85	182	89	42	17	82	21	38	2	27	189	6	38	66	26	83	30	13	33	74	7	19	34	2	10	27	18	3	0	2	0
OTU407	0	0	0	0	0	0	1	7	2	0	13	0	5	14	0	0	1	0	0	0	1	0	0	0	0	0	6	25	14	20	22	0	0	0	0	0	127	5	29	0	3	28	1	2	5	17	16	4	5	20	0	11	14	1	6	1	37	10	2	0	0	0	0	0	0	0	6	1	0	9	8	0	0	16	0	220	424	63	7	10	16	0	3	5	12	0	44	8	52	13	9	2	0	9	4	9	2	0	0	0	0	0
OTU408	0	0	0	0	0	0	0	3	0	0	3	0	8	5	0	0	0	0	2	0	0	1	0	0	0	0	37	4	0	21	34	0	0	303	8	0	1	0	1	0	0	0	1	3	0	10	7	48	0	0	0	4	3	0	6	24	23	5	40	6	1	1	3	168	5	126	166	19	10	7	1	10	0	2	0	1	1	1	11	0	1	7	33	7	46	62	0	0	0	8	4	0	48	35	8	3	5	99	661	90	133	51
OTU409	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	559	0	0	0	0	0	0	0	0	0	0	0	0	164	3	0	0	0	0	0	0	0	17	0	1	4	0	0	0	0	1	0	0	0	0	2	0	0	0	2	162	0	0	121	0	34	7	3	6	0	0	0	0	0	0	0	0	0	0	0	2	0	9	0	1	25	0	0	1	0	0	0	20	0	0	0	1	63	2	0	0	1
OTU41	0	44	2	13	0	1	3	24	11	6	41	10	130	136	0	0	1	0	11	0	0	96	7	16	0	70	614	1327	8696	751	1097	0	7	3	25	0	4495	151	586	0	18	184	107	8	26	27	91	15	17	149	284	36	186	7	37	148	364	134	37	0	3	0	0	8	0	6	4	5	14	58	1141	268	63	380	26	1425	933	324	39	5230	54	21	50	63	10	19	220	1059	251	162	43	14	204	188	42	56	40	10	3	0	10	0
OTU410	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	2	948	0	0	0	0	0	1	0	0	0	0	0	0	0	91	0	2	0	0	0	10	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	5	2	0	0	0	168	0	0	32	1	27	21	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	0	0	0	2	0	0	19	0	4	0	0	18	0	21	1	0
OTU411	0	0	0	0	0	0	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	2	0	0	0	0	0	133	1	859	5	78	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	73	2	0
OTU412	0	0	0	0	0	0	0	0	6	0	0	0	7	9	1	0	0	0	3	0	0	3	0	0	7	0	2	29	7	0	15	1	0	1	0	0	3	0	0	0	341	0	9	136	21	1	4	1	210	951	2	6	44	10	31	39	31	10	4	0	2	1	0	0	0	0	0	0	6	29	2	22	3	214	10	0	6	2	271	1	4	7	16	67	8	2	3	0	3	4	0	3	15	10	0	225	3	1	0	0	3	0
